date,holiday
2014-01-04,Winter Classes Start
2014-02-15,Reading Week Start
2014-02-21,Reading Week End
2014-04-08,Winter Classes End
2014-04-11,Winter Exams Start
2014-04-30,Winter Exams End
2014-07-01,Canada Day
2014-08-04,Civic Holiday
2014-09-04,Fall Classes Start
2014-10-13,Thanksgiving
2014-10-30,Fall Study Break Start
2014-10-31,Fall Study Break End
2014-12-03,Fall Classes End
2014-12-06,Fall Exams Start
2014-12-17,Fall Exams End
2015-01-06,Winter Classes Start
2015-02-16,Reading Week Start
2015-02-20,Reading Week End
2015-04-08,Winter Classes End
2015-04-11,Winter Exams Start
2015-04-30,Winter Exams End
2015-07-01,Canada Day
2015-08-03,Civic Holiday
2015-09-08,Fall Classes Start
2015-10-12,Thanksgiving
2015-10-29,Fall Study Break Start
2015-10-30,Fall Study Break End
2015-12-09,Fall Classes End
2015-12-11,Fall Exams Start
2015-12-22,Fall Exams End
2016-01-06,Winter Classes Start
2016-02-15,Reading Week Start
2016-02-19,Reading Week End
2016-04-06,Winter Classes End
2016-04-09,Winter Exams Start
2016-04-30,Winter Exams End
2016-07-01,Canada Day
2016-08-01,Civic Holiday
2016-09-08,Fall Classes Start
2016-10-10,Thanksgiving
2016-10-27,Fall Study Break Start
2016-10-28,Fall Study Break End
2016-12-07,Fall Classes End
2016-12-10,Fall Exams Start
2016-12-21,Fall Exams End
2017-01-05,Winter Classes Start
2017-02-20,Reading Week Start
2017-02-24,Reading Week End
2017-04-07,Winter Classes End
2017-04-09,Winter Exams Start
2017-04-30,Winter Exams End
2017-07-01,Canada Day
2017-08-07,Civic Holiday
2017-09-07,Fall Classes Start
2017-10-09,Fall Study Break Start
2017-10-13,Fall Study Break End
2017-10-13,Thanksgiving
2017-12-08,Fall Classes End
2017-12-10,Fall Exams Start
2017-12-21,Fall Exams End
2018-01-08,Winter Classes Start
2018-02-19,Reading Week Start
2018-02-23,Reading Week End
2018-04-11,Winter Classes End
2018-04-14,Winter Exams Start
2018-04-30,Winter Exams End
2018-07-01,Canada Day
2018-08-06,Civic Holiday
2018-09-05,Fall Classes Start
2018-10-08,Thanksgiving
2018-10-09,Fall Study Break Start
2018-10-12,Fall Study Break End
2018-11-30,Fall Classes End
2018-12-03,Fall Exams Start
2018-12-21,Fall Exams End
2019-01-07,Winter Classes Start
2019-02-10,Reading Week Start
2019-02-22,Reading Week End
2019-04-09,Winter Classes End
2019-04-11,Winter Exams Start
2019-04-30,Winter Exams End
2019-07-01,Canada Day
2019-08-05,Civic Holiday
2019-09-05,Fall Classes Start
2019-10-14,Thanksgiving
2019-11-04,Fall Study Break Start
2019-11-10,Fall Study Break End
2019-12-06,Fall Classes End
2019-12-09,Fall Exams Start
2019-12-20,Fall Exams End
2020-01-06,Winter Classes Start
2020-02-15,Reading Week Start
2020-02-23,Reading Week End
2020-04-03,Winter Classes End
2020-04-06,Winter Exams Start
2020-04-26,Winter Exams End
2020-07-01,Canada Day
2020-08-03,Civic Holiday
2020-09-09,Fall Classes Start
2020-10-12,Thanksgiving
2020-11-02,Fall Study Break Start
2020-11-08,Fall Study Break End
2020-12-09,Fall Classes End
2020-12-11,Fall Exams Start
2020-12-22,Fall Exams End